berry,main_tree_type,forest_development_class,x,y,year,week_number,Latitude,Longitude,Coordinates
bilberry,birch,old,540000,7070000,2022,31,63.75529226442818,27.81072638258808,"63.75529226442818,27.81072638258808"
bilberry,pine,old,540000,7340000,2022,31,66.17769428244003,27.88752145392611,"66.17769428244003,27.88752145392611"
bilberry,spruce,plantation,370000,7450000,2022,35,67.13889152714616,24.00044236130488,"67.13889152714616,24.00044236130488"
bilberry,pine,plantation,270000,6930000,2022,31,62.42982878806273,22.54333683745657,"62.42982878806273,22.543336837456568"
bilberry,mixed,plantation,490000,7130000,2022,33,64.29586376491736,26.79336393895392,"64.29586376491736,26.793363938953917"
bilberry,pine,plantation,530000,6790000,2022,29,61.24315646359449,27.55895638510091,"61.24315646359449,27.55895638510091"
bilberry,spruce,old,520000,7300000,2022,30,65.8207478442539,27.43759257958034,"65.8207478442539,27.437592579580336"
bilberry,pine,plantation,450000,7210000,2022,29,65.01010244586419,25.93926483974,"65.01010244586419,25.93926483974"
lingonberry,pine,plantation,430000,7400000,2022,35,66.71051424952127,25.41329028245461,"66.71051424952127,25.413290282454607"
lingonberry,pine,plantation,270000,6980000,2022,35,62.87723735329256,22.47548975766792,"62.877237353292564,22.47548975766792"
lingonberry,pine,old,490000,7470000,2022,32,67.34626194946154,26.76734120543229,"67.34626194946154,26.76734120543229"
