year,week_number,rovaniemi_temperature,sodankylä_temperature,ivalo_temperature,oulu_temperature,kajaani_temperature,kuopio_temperature,jyväskylä_temperature,tampere_temperature,helsinki_temperature,rov_lat,rov_lon,sod_lat,sod_lon,iva_lat,iva_lon,oul_lat,oul_lon,kaj_lat,kaj_lon,kuo_lat,kuo_lon,jyv_lat,jyv_lon,tam_lat,tam_lon,hel_lat,hel_lon
2020,31,"15,82857143","15,67142857","15,11428571","16,75714286","15,28571429","15,88571429","15,72857143","16,62857143","17,2","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,32,"15,88571429","15,58571429","14,97142857","17,2","16,92857143","16,21428571","17,34285714","16,68571429","18,31428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,33,"13,58571429","13,21428571","11,81428571","15,44285714","14,04285714","13,64285714","14,82857143","17,47142857","17,01428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,34,"14,52857143","14,44285714","13,67142857","16,55714286","16,02857143","13,4","15,87142857","13,47142857","18,4","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,35,"9,957142857","9,942857143","9,871428571","11,15714286","10,95714286","11,28571429","11,4","13,01428571","13,95714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,36,"11,34285714","10,6","11,21428571","12,98571429","12,24285714","9,571428571","12,48571429","11,51428571","14,2","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,37,"8,928571429","7,971428571","8,271428571","10,75714286","10,28571429","11,28571429","10,12857143","10,48571429","12,24285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,38,"6,371428571","5,485714286","6,328571429","9,228571429","7,871428571","11,2","8,671428571","12,48571429","11,18571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,39,"6,957142857","6,185714286","5,671428571","10,51428571","11,12857143","11,08571429","11,72857143","12,72857143","14,32857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,40,"8,657142857","8,742857143","9,314285714","10,67142857","9,714285714","5,314285714","10,35714286","12,17142857","12,38571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,41,"8,414285714","7,742857143","7,228571429","10,45714286","10,31428571","1,971428571","10,14285714","5,6","12,2","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,42,"1,357142857",1,"0,6428571429","3,814285714","3,471428571","5,685714286","3,528571429","3,185714286","5,3","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,43,"-2,442857143","-2,285714286","-1,485714286","0,6714285714","0,4857142857","6,342857143","1,042857143","6,414285714","4,442857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2020,44,"1,316666667","-0,03333333333","0,01666666667","4,883333333","5,083333333","1,666666667","6,983333333","6,9","8,566666667","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2021,17,"-0,85","-1,05","-0,8","1,05","0,35","16,05","1,85","2,65",4,"66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2021,18,"0,9428571429","0,7142857143","0,3857142857","3,485714286","2,5","13,08571429","4,014285714","13,14285714","5,171428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2021,19,"7,328571429","5,271428571","3,857142857","13,24285714","14,3","8,171428571","14,82857143","11,81428571","15,37142857","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2021,20,"6,6","6,285714286","5,3","9,242857143","11,92857143","15,61428571","10,95714286","9,385714286","11,78571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
